country,customer_id,invoice,price,stream_id,times_viewed,date
United Kingdom,,562417,8.29,40016,1,2019-08-01
United Kingdom,,562417,3.29,23297,1,2019-08-01
United Kingdom,,562417,1.25,23309,1,2019-08-01
United Kingdom,,562417,3.29,23321,1,2019-08-01
United Kingdom,,562417,2.46,35971,1,2019-08-01
United Kingdom,,562417,0.63,35916B,1,2019-08-01
United Kingdom,,562417,8.29,37500,1,2019-08-01
United Kingdom,,562417,7.46,23252,1,2019-08-01
United Kingdom,,562417,3.29,37447,1,2019-08-01
United Kingdom,,562417,16.63,23341,1,2019-08-01
United Kingdom,,562417,2.46,23251,9,2019-08-01
United Kingdom,,562417,4.13,23199,4,2019-08-01
United Kingdom,,562417,3.29,23249,4,2019-08-01
United Kingdom,,562417,5.79,23236,1,2019-08-01
United Kingdom,,562417,1.63,23225,1,2019-08-01
United Kingdom,,562417,4.13,23207,1,2019-08-01
United Kingdom,,562417,1.63,23205,15,2019-08-01
United Kingdom,,562417,4.13,23201,3,2019-08-01
United Kingdom,,562417,2.46,23182,1,2019-08-01
United Kingdom,,562417,16.63,23053,1,2019-08-01
United Kingdom,,562417,3.29,72799E,1,2019-08-01
United Kingdom,,562417,19.96,23173,1,2019-08-01
United Kingdom,,562417,2.46,23061,10,2019-08-01
United Kingdom,,562417,3.29,23165,1,2019-08-01
United Kingdom,,562417,2.46,23250,5,2019-08-01
United Kingdom,,562417,0.8300000000000001,79190B,1,2019-08-01
United Kingdom,,562417,1.63,20723,1,2019-08-01
United Kingdom,,562417,1.63,82567,1,2019-08-01
United Kingdom,,562417,2.46,21033,14,2019-08-01
United Kingdom,,562417,2.46,21012,3,2019-08-01
United Kingdom,,562417,16.63,23051,1,2019-08-01
United Kingdom,,562417,16.63,21055,1,2019-08-01
United Kingdom,,562417,4.96,20828,1,2019-08-01
United Kingdom,,562417,4.13,20726,2,2019-08-01
United Kingdom,,562417,4.13,20725,1,2019-08-01
United Kingdom,,562417,1.63,20719,2,2019-08-01
United Kingdom,,562417,141.5,DOT,1,2019-08-01
United Kingdom,,562417,7.9,90036E,1,2019-08-01
United Kingdom,,562417,4.15,90013B,1,2019-08-01
United Kingdom,,562417,3.73,90013A,1,2019-08-01
United Kingdom,,562417,5.79,85132C,1,2019-08-01
United Kingdom,,562417,0.8300000000000001,85131D,1,2019-08-01
United Kingdom,,562417,0.8300000000000001,85131B,1,2019-08-01
United Kingdom,,562417,4.13,85099F,1,2019-08-01
